NO,AIRLINES,TIME,PRICE
1,LION AIR,05.30-06.40,382200
2,LION AIR,06.30-07.40,382200
3,LION AIR,08.30-09.40,382200
4,BATIK AIR,13.10-14.20,705100
5,BATIK AIR,17.05-18.10,705100
6,BATIK AIR,18.00-19.10,705100
7,WINGS AIR,14.00-17.50,833300
8,CITILINK,12.45-13.55,802800
9,CITILINK,15.20-16.30,802800
10,GARUDA,09.55-11.25,1067800
