NO,AIRLINES,TIME,PRICE
1,SRIWIJAYA,17.35 - 18.55,Rp 754.000
2,CITILINK,10.15 - 15.30,Rp 982.800
3,CITILINK,15.45 - 17.20,Rp 1.092.800
4,CITILINK,08.40 - 10.10,Rp 1.396.400
5,CITILINK,17.25 - 18.55,Rp 1.396.400
6,GARUDA,17.25 - 18.55,Rp 1.396.400
7,SRIWIJAYA,19.40 - 00.05,Rp 1.654.400
8,SRIWIJAYA,17.35 - 00.35,Rp 2.167.000
9,GARUDA,17.20 - 04.55,Rp 3.697.100
10,GARUDA,20.15 - 04.55,Rp 3.697.100
