NO,AIRLINES,TIME,PRICE
1,LION AIR,05.40 - 11.00,Rp 718.900
2,LION AIR,06.20 - 11.00,Rp 718.900
3,LION AIR,08.20 - 13.00,Rp 718.900
4,BATIK AIR,05.00 - 09.30,Rp 1.723.200
5,BATIK AIR,05.30 - 09.30,Rp 1.723.200
6,BATIK AIR,06.00 - 10.30,Rp 1.723.200
7,GARUDA,12.10 - 17.00,Rp 2.276.500
8,WINGS AIR,06.00 - 07.10,Rp 583.000
9,WINGS AIR,07.30 - 08.40,Rp 583.000
10,WINGS AIR, 07.40 - 12.05,Rp 1.217.200
