NO,AIRLINES,TIME,PRICE
1,LION AIR,11.20 - 16.15, 1293100
2,LION AIR,17.00 - 18.10,332200
3,LION AIR,21.20 - 22.30,332200
4,LION AIR,05.40 - 06.50,451000
5,LION AIR,20.20 - 21.30, 451000
6,BATIK AIR,15.00 - 16.10,655600
7,BATIK AIR,05.30 - 06.40,754600
8,CITILINK,06.40 - 07.50, 767800
9,GARUDA,18.20 - 19.40, 987800
10,GARUDA,12.10 - 13.30,987800
