NO,AIRLINES,TIME,PRICE
1,LION AIR,05.30-08.30,Rp 500.500
2,LION AIR,13.40 - 16.40,Rp 500.500
3,LION AIR,05.40 - 12.20,Rp 935.600
4,LION AIR,06.20 - 13.20,Rp 935.600
5,SRIWIJAYA AIR,15.50 - 19.00,Rp 1.045.000
6,CITILINK,06.40 - 17.55,Rp 1.248.940
7,CITILINK,16.10 - 19.00,Rp 1.248.940
8,GARUDA,19.40 - 22.40,Rp 1.645.900
9,BATIK AIR,05.00 - 10.50,Rp 2.269.900
10,BATIK AIR,05.30 - 12.20,Rp 2.269.900
