NO,AIRLINES,TIME,PRICE
1,LION AIR,04.30-06.00,Rp 486.700
2,LION AIR,05.00-06.30,Rp 486.700
3,LION AIR,07.30-09.00,Rp 486.700
4,BATIK AIR,05.15-06.45,Rp 1.014.200
5,BATIK AIR,09.35-11.05,Rp 1.014.200
6,BATIK AIR,12.50-14.20,Rp 1.014.200
7,SRIWIJAYA,16.20-17.50,Rp 728.000
8,CITILINK,15.50-17.20,Rp 1.031.800
9,CITILINK,05.25-07.20,Rp 1.071.200
10,GARUDA,15.25-17.00,Rp 1.418.700
