NO,AIRLINES,TIME,PRICE
1,LION AIR,09.30 - 10.00,Rp 620.000
2,LION AIR,12.40 - 13.10,Rp 620.000
3,LION AIR,14.05 - 14.35,Rp 620.000
4,LION AIR,16.00 - 16.30,Rp 620.000
5,LION AIR,16.40 - 17.10,Rp 620.000
6,BATIK AIR,07.10 - 07.50,Rp 686.700
7,BATIK AIR,13.50 - 14.30,Rp 686.700
8,GARUDA,12.05 - 12.35,Rp 1.035.000
9,GARUDA,14.10 - 14.40,Rp 1.035.000
10,GARUDA,16.00 - 16.40,Rp 1.035.000
