NO,AIRLINES,TIME,PRICE
1,WINGS,06.00 - 07.10,623000
2,WINGS,07.30 - 08.40,623000
3,WINGS,09.00 - 10.10,623000
4,WINGS,10.45 - 11.55,623000
5,WINGS,12.20 - 13.30,623000
6,WINGS,13.40 - 14.50,623000
7,LION,08.00 - 09.10,724200
8,LION,13.20 - 14.30,724200
9,BATIK,19.40 - 20.50,1056300
10,GARUDA,16.40 - 17.50,1618700
