NO,AIRLINES,TIME,PRICE
1,CITILINK,06.40 - 14.40,992200
2,CITILINK,06.40 - 16.15, 992200
3,GARUDA,16.20 - 18.40, 1279300
4,WINGS AIR,07.30 - 14.40, 1262781
5,WINGS AIR,05.40 - 12.30, 1307216
6,WINGS AIR,06.30 - 12.00, 1317344
7,LION AIR,07.25 - 09.20, 522448
8,LION AIR,20.20 - 22.30, 522448
9,BATIK AIR,05.00 - 13.55, 2063300
10,BATIK AIR,05.30 - 11.45, 2063300
