NO,AIRLINES,TIME,PRICE
1,CITILINK,10.15 - 09.55,Rp 592.300
2,NAM AIR,17.30 - 17.30,Rp 611.000
3,CITILINK,12.15 - 12.15,Rp 617.600
4,CITILINK,12.15 - 12.15,Rp 641.800
5,GARUDA,15.35 - 08.55,Rp 2.967.800
6,GARUDA,15.35 - 17.00,Rp 2.967.800
7,GARUDA,17.20 - 08.55,Rp 2.967.800
8,GARUDA,17.20 - 17.00,Rp 2.967.800
9,GARUDA,20.15 - 08.55,Rp 2.967.800
10,GARUDA,20.15 - 17.00,Rp 2.967.800
