NO,AIRLINES,TIME,PRICE
1,LION AIR,06.50 - 08.55,457400
2,LION AIR,10.20 - 12.20,457400
3,LION AIR,12.00 - 14.00,457400
4,LION AIR,14.55 - 16.50,457400
5,LION AIR,20.20 - 22.20,457400
6,CITILINK,07.55 - 09.45,582300
7,CITILINK,12.55 - 14.55,607600
8,BATIK AIR,15.25 - 17.25,832400
9,BATIK AIR,20.00 - 22.00,832400
10,GARUDA,16.00 - 18.00,1258600
