NO,AIRLINES,TIME,PRICE
1,CITILINK,06.40 - 14.40,Rp 992.200
2,CITILINK,06.40 - 16.15,Rp 992.200
3,GARUDA,16.20 - 18.40,Rp 1.279.300
4,WINGS AIR,07.30 - 14.40,Rp 1.262.781
5,WINGS AIR,05.40 - 12.30,Rp 1.307.216
6,WINGS AIR,06.30 - 12.00,Rp 1.317.344
7,LION AIR,07.25 - 09.20,Rp 522.448
8,LION AIR,20.20 - 22.30,Rp 522.448
9,BATIK AIR,05.00 - 13.55,Rp 2.063.300
10,BATIK AIR,05.30 - 11.45,Rp 2.063.300
